day_number,collision_date,num_collisions,weather_date,temperature,dew_point,sea_level_pressure,visibility,wind_speed,max_sustained_wind_speed,max_wind_gust,max_temperature,min_temperature,total_precipitation,snow_depth,fog_occurred
2,2013-01-29,542,2013-01-29,40.3,35.3,1018.2,5.3,4.3,8.0,14.0,48.0,34.0,0.22,1.2,0
4,2013-12-19,607,2013-12-19,36.5,20.7,1020.0,9.7,4.8,8.0,21.0,45.0,23.0,0.0,3.9,0
6,2013-12-21,594,2013-12-21,55.4,44.4,1014.6,9.8,7.0,11.1,20.0,63.0,41.0,0.01,3.1,0
3,2013-02-13,570,2013-02-13,38.2,22.5,1011.2,9.9,3.0,7.0,15.0,44.1,33.1,0.0,3.9,0
1,2013-02-11,475,2013-02-11,38.5,32.4,1019.6,5.6,3.2,7.0,999.9,45.0,32.0,0.09,9.8,1
5,2013-12-20,674,2013-12-20,46.8,28.4,1017.8,10.0,3.0,11.1,20.0,53.1,30.0,0.0,3.1,0
1,2015-02-02,680,2015-02-02,29.9,25.0,1008.1,3.0,6.8,15.0,26.0,36.0,19.9,0.71,5.9,1
4,2015-03-05,830,2015-03-05,30.3,27.2,1015.8,2.2,5.4,9.9,15.9,43.0,19.4,0.48,13.0,1
2,2015-02-17,620,2015-02-17,20.2,5.0,1014.4,6.7,3.9,8.9,999.9,27.0,3.0,0.11,9.1,0
6,2015-02-21,517,2015-02-21,20.5,3.2,1031.1,7.7,4.6,8.0,17.1,28.9,1.9,0.0,9.1,0
4,2015-02-26,539,2015-02-26,26.8,8.2,1015.6,9.7,6.1,9.9,15.9,37.0,19.9,0.0,11.8,0
